%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1570512689280567788,6452,1570512689189733000,/map,-18058.2324219,-93619.515625,38.9814453125,0.0128574503362,-0.0193112879899,0.0852316351251,0.996091024205
1570512689382289117,6453,1570512689289968000,/map,-18057.8417969,-93619.4765625,39.0241775513,0.00864151487156,-0.0183634425263,0.0659347556706,0.997617519991
1570512689475365311,6454,1570512689390114000,/map,-18057.4746094,-93619.4140625,39.0282554626,0.00386798946814,-0.0175071205546,0.0469186480481,0.998737793344
1570512689641777620,6455,1570512689490464000,/map,-18056.9277344,-93619.3203125,39.0262908936,0.00118432600541,-0.0169245937292,0.0260859501967,0.999515722088
1570512689717877418,6456,1570512689591002000,/map,-18056.3320312,-93619.3203125,39.0335426331,0.00142319033913,-0.0164121463635,0.00599425312727,0.999846330648
1570512689794211253,6457,1570512689690761000,/map,-18055.8847656,-93619.296875,39.0284576416,0.000484613025956,-0.0155273156262,-0.0108870639494,0.999820053539
1570512689854362905,6458,1570512689791107000,/map,-18055.4296875,-93619.28125,39.0518722534,-0.000650476671481,-0.0138921493872,-0.0276937473011,0.999519705371
1570512689969988568,6459,1570512689891252000,/map,-18054.90625,-93619.265625,39.0476608276,-0.00309702068268,-0.011773428926,-0.0450449310349,0.998910781312
1570512690058435387,6460,1570512689991738000,/map,-18054.4296875,-93619.28125,39.0628585815,-0.00546057533665,-0.0100561316093,-0.0616586632587,0.998031695679
1570512690162186565,6461,1570512690091750000,/map,-18053.9414062,-93619.3046875,39.1134757996,-0.0065083515421,-0.0098545519085,-0.0775041909145,0.996922077977
1570512690280991529,6462,1570512690191891000,/map,-18053.390625,-93619.3984375,39.1093902588,-0.0101718990245,-0.0105189356601,-0.091888171327,0.995661814289
1570512690363906022,6463,1570512690293728000,/map,-18052.8203125,-93619.484375,39.1140556335,-0.012166105866,-0.0107262190187,-0.10581352039,0.994253706554
1570512690455483237,6464,1570512690392387000,/map,-18052.2597656,-93619.5390625,39.0951347351,-0.0136011222777,-0.00942481193786,-0.117932145035,0.992883775454
1570512690570325333,6465,1570512690492534000,/map,-18051.6914062,-93619.6328125,39.071723938,-0.0142614968301,-0.00677753125102,-0.127985030329,0.991650395447
1570512690685517394,6466,1570512690592885000,/map,-18051.1972656,-93619.75,39.0951461792,-0.0141373246195,-0.00418236239063,-0.136536667459,0.990525306258
1570512690764571513,6467,1570512690693032000,/map,-18050.6542969,-93619.84375,39.1477928162,-0.0138022176816,-0.0024042031588,-0.145823930968,0.989211352417
1570512690890566614,6468,1570512690793281000,/map,-18050.0371094,-93620.0078125,39.1684494019,-0.0148130379481,-0.00151799686613,-0.154663413241,0.987854998569
1570512690971065078,6469,1570512690893547000,/map,-18049.4863281,-93620.1640625,39.1794700623,-0.0155451727743,-0.00200090320269,-0.163002047221,0.986501229899
1570512691060756093,6470,1570512690998178000,/map,-18048.9199219,-93620.34375,39.1815643311,-0.0155061799345,-0.00210986161924,-0.171726010553,0.985020448604
1570512691163151759,6471,1570512691098529000,/map,-18048.3710938,-93620.515625,39.186164856,-0.0149372518772,-0.00211799249259,-0.179672446413,0.983610799358
1570512691269468837,6472,1570512691198675000,/map,-18047.8261719,-93620.7109375,39.1846885681,-0.0144448769697,-0.00178999115491,-0.187059899051,0.98224067093
1570512691377017550,6473,1570512691301889000,/map,-18047.2226562,-93620.8828125,39.1919288635,-0.0121358311229,-0.00206515362641,-0.193783407576,0.98096709817
1570512691468090386,6474,1570512691402048000,/map,-18046.6601562,-93621.0625,39.2118759155,-0.0122797843745,-0.00195302604021,-0.199722127337,0.979773680212
1570512691583137207,6475,1570512691502288000,/map,-18046.125,-93621.2890625,39.211517334,-0.0138078440587,-0.00232666589597,-0.20518169421,0.978623728728
1570512691672513056,6476,1570512691602530000,/map,-18045.6328125,-93621.5078125,39.2098731995,-0.0147700765906,-0.00333536798091,-0.210427005413,0.977492299484
1570512691789856042,6477,1570512691705311000,/map,-18045.1953125,-93621.671875,39.2103271484,-0.0149141360257,-0.00406758028507,-0.215312385649,0.976422859177
1570512691875147247,6478,1570512691803027000,/map,-18044.7382812,-93621.84375,39.2258224487,-0.0134149091351,-0.00410557319284,-0.220582083058,0.975267516692
1570512691963608499,6479,1570512691903171000,/map,-18044.3359375,-93622.0859375,39.2398033142,-0.0137767397937,-0.00332553485241,-0.225443194982,0.974153226189
1570512692067259508,6480,1570512692003318000,/map,-18043.9023438,-93622.296875,39.2395553589,-0.0150373503259,-0.0026985414113,-0.230473590254,0.972958642577
1570512692172029497,6481,1570512692103667000,/map,-18043.4570312,-93622.5,39.2545394897,-0.0152952453163,-0.00233956016486,-0.235716786604,0.971698604734
1570512692258828960,6482,1570512692203813000,/map,-18042.9863281,-93622.71875,39.261390686,-0.0154648635362,-0.00223369726246,-0.241252743817,0.970336520076
1570512692378444003,6483,1570512692304059000,/map,-18042.6035156,-93622.8984375,39.2557182312,-0.0154816043444,-0.00268687595264,-0.247478276384,0.968766020947
1570512692458507249,6484,1570512692404310000,/map,-18042.234375,-93623.0703125,39.2578430176,-0.0153482933274,-0.00300393572506,-0.253351104867,0.967247964032
1570512692569985671,6485,1570512692504452000,/map,-18041.8554688,-93623.28125,39.277431488,-0.0141607373564,-0.00376310033941,-0.259422977655,0.96565264524
1570512692682231069,6486,1570512692604827000,/map,-18041.4511719,-93623.515625,39.2851448059,-0.0139110257777,-0.00454837889703,-0.265314013624,0.964050968459
1570512692760102383,6487,1570512692704950000,/map,-18041.0527344,-93623.7421875,39.2967567444,-0.0149460948266,-0.00443033328512,-0.27126602584,0.962378163521
1570512692866211723,6488,1570512692805202000,/map,-18040.6738281,-93623.9921875,39.3035736084,-0.015025141348,-0.00484457626952,-0.27649212357,0.960886507769
